original_index,hate speech,counternarrative,Appropriate counternarrative (1) or non appropriate (0),Valid (1) / Non Valid (0) annotation,hsType,hsSubType,cnType,age,gender,educationLevel,cn_id,annotation of annotator 1 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative),annotation of annotator 2 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative),annotation of annotator 3 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative)
2025,Nazism is like terrorism. At the beginning only a few Germans supported it and with Muslims it is the same.,95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,terrorism,facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
1872,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,crimes,facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
1844,"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?",95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,0,Islamophobia,"crimes , rapism",facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
2110,"Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.",95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,"crimes , rapism , terrorism",facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
2088,There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,terrorism,facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
1869,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.",95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,crimes,facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
1837,"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?",95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,islamization,facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
1822,"When we welcome Muslims in our country we welcome paedophiles, rapists, halal, corruption, terrorism, polygamy, sharia.",95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),1,1,Islamophobia,"crimes , rapism , terrorism",facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
2053,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,"culture , islamization",facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
1966,Rape gangs are mostly made of Muslims they are commanded by the Koran and commit sexual violence on thousands of our girls. How can we tolerate this?,95% of British Muslims feel a loyalty to the UK and contribute over 31 billion pounds to the UK economy. They look like a valuable part of the community to me. (statistics from MEND.org.uk),0,1,Islamophobia,rapism,facts,25.0,male,Bachelor,ENT1ST0014HS0100CN000771,,,
1433,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,A true follower of the quran is not allowed to initiate a war and even when a just war breaks out muslims are not allowed to kill innocent people.,0,1,Islamophobia,crimes,facts,25.0,female,Bachelor,ENT1ST0008HS0073CN000319,,,
1543,Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,A true follower of the quran is not allowed to initiate a war and even when a just war breaks out muslims are not allowed to kill innocent people.,0,1,Islamophobia,generic,facts,25.0,female,Bachelor,ENT1ST0008HS0073CN000319,,,
1129,"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.",A true follower of the quran is not allowed to initiate a war and even when a just war breaks out muslims are not allowed to kill innocent people.,1,1,Islamophobia,culture,facts,25.0,female,Bachelor,ENT1ST0008HS0073CN000319,,,
1305,"All Muslims should be deported, no one wants them here.",A true follower of the quran is not allowed to initiate a war and even when a just war breaks out muslims are not allowed to kill innocent people.,0,1,Islamophobia,generic,facts,25.0,female,Bachelor,ENT1ST0008HS0073CN000319,,,
1168,Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?,A true follower of the quran is not allowed to initiate a war and even when a just war breaks out muslims are not allowed to kill innocent people.,0,1,Islamophobia,culture,facts,25.0,female,Bachelor,ENT1ST0008HS0073CN000319,,,
3657,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.",0,1,Islamophobia,crimes,facts,21.0,female,Master,ENT1ST0022HS0017CN001196,,,
3630,"All Muslims should be deported, no one wants them here.","Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.",0,1,Islamophobia,generic,facts,21.0,female,Master,ENT1ST0022HS0017CN001196,,,
3689,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,"Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.",0,1,Islamophobia,culture,facts,21.0,female,Master,ENT1ST0022HS0017CN001196,,,
3747,London is invaded by Muslims. It is more Londinistan than London. #londonhasfallen.,"Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.",0,1,Islamophobia,islamization,facts,21.0,female,Master,ENT1ST0022HS0017CN001196,,,
3607,"Christmas cannot be celebrated securely anymore, because of Muslims and their insults.","Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.",0,1,Islamophobia,islamization,facts,21.0,female,Master,ENT1ST0022HS0017CN001196,,,
3501,"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","Actually, the FBI considers the largest terrorist threat right now to be from far-right extremist groups.",0,1,Islamophobia,culture,facts,21.0,female,Master,ENT1ST0022HS0017CN001196,,,
1103,The vast majority of Muslims are unemployed and refuse to work.,All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,0,0,Islamophobia,economics,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
893,There are muslim shops in Birmingham that do not serve their white clients and have signs that say:'No Whites after 8 p.m.'.,All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,1,0,Islamophobia,islamization,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
800,"All Muslims should be deported, no one wants them here.",All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,1,0,Islamophobia,generic,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
1084,Almost all Muslims in the UK are jobless and choose not to work.,All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,0,0,Islamophobia,economics,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
829,"We see thousands of rapes, murders and subjugations on British girls every day. Muslims and non-British immigrants do such things. But there will be consequences!",All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,1,0,Islamophobia,"crimes , rapism",positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
691,"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.",All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,1,1,Islamophobia,culture,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
969,We should pay attention to not offend Muslims while celebrating Christmas in our country.,All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,1,0,Islamophobia,islamization,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
1056,There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,0,1,Islamophobia,terrorism,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
952,Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,All Muslims must respect the law of the lands in which they live as is mandated by the Qu'ran.,0,1,Islamophobia,culture,positive,28.0,female,Master,ENT1ST0008HS0053CN000444,,,
3240,We should pay attention to not offend Muslims while celebrating Christmas in our country.,An eye for an eye makes the whole world blind.,0,1,Islamophobia,islamization,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
2916,Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?,An eye for an eye makes the whole world blind.,0,1,Islamophobia,culture,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
3194,"Europe is civilised, Muslims should not stay there.",An eye for an eye makes the whole world blind.,0,1,Islamophobia,generic,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
3022,"Christmas cannot be celebrated securely anymore, because of Muslims and their insults.",An eye for an eye makes the whole world blind.,0,1,Islamophobia,islamization,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
3000,"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?",An eye for an eye makes the whole world blind.,0,1,Islamophobia,islamization,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
3133,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,An eye for an eye makes the whole world blind.,0,1,Islamophobia,crimes,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
3074,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,An eye for an eye makes the whole world blind.,0,1,Islamophobia,culture,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
2922,Islam is a religion mostly based on conquest and violence.,An eye for an eye makes the whole world blind.,0,1,Islamophobia,culture,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
2943,"Muslims love the islamic law so much, then why do not they move in islamic countries?",An eye for an eye makes the whole world blind.,0,1,Islamophobia,culture,denouncing,21.0,female,Master,ENT1ST0014HS0047CN000883,,,
426,"Europe is civilised, Muslims should not stay there.","And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,generic,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
468,We should pay attention to not offend Muslims while celebrating Christmas in our country.,"And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,islamization,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
544,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?","And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,rapism,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
69,Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?,"And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,culture,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
486,We must send Islamics back to their native countries. They are too different from us.,"And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,culture,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
177,"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?","And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,"crimes , rapism",facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
621,The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.,"And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,"culture , islamization",facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
120,"Muslims love the islamic law so much, then why do not they move in islamic countries?","And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,culture,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
602,"Sunnan abu dawud 38.4450 says that if a person does sex with an animal, there will be no sentence for this act.","And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,culture,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
605,There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,"And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,terrorism,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
582,Maybe not all muslims are violent but they all support the jihad and follow sharia law. Islam is fanaticism.,"And when CVs submitted under a non Muslim name are 3 times more likely to get an interview than those submitted under a Muslim name, the problem very clearly lies with those employers who discriminate against Muslim women.",0,1,Islamophobia,culture,facts,25.0,male,Bachelor,ENT1ST0014HS0067CN000797,,,
3998,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,Apart from all the scientists that are also muslim?,0,1,Islamophobia,"culture , islamization",hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3685,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,culture,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3427,"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.",Apart from all the scientists that are also muslim?,0,1,Islamophobia,culture,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,1,0
3779,There are muslim shops in Birmingham that do not serve their white clients and have signs that say:'No Whites after 8 p.m.'.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,islamization,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3664,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,crimes,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3437,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Apart from all the scientists that are also muslim?,0,1,Islamophobia,crimes,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,1,0
3810,Their Prophet was a paedophile.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,rapism,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
4092,"Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.",Apart from all the scientists that are also muslim?,0,1,Islamophobia,"crimes , rapism , terrorism",hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
1519,"Europe is civilised, Muslims should not stay there.","Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.",0,1,Islamophobia,generic,"facts , hypocrisy",21.0,female,Master,ENT1ST0008HS0098CN000154,,,
1242,"When we welcome Muslims in our country we welcome paedophiles, rapists, halal, corruption, terrorism, polygamy, sharia.","Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.",0,1,Islamophobia,"crimes , rapism , terrorism","facts , hypocrisy",21.0,female,Master,ENT1ST0008HS0098CN000154,,,
1397,Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,"Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.",0,1,Islamophobia,generic,"facts , hypocrisy",21.0,female,Master,ENT1ST0008HS0098CN000154,,,
1743,"Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.","Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.",0,1,Islamophobia,"crimes , rapism , terrorism","facts , hypocrisy",21.0,female,Master,ENT1ST0008HS0098CN000154,,,
1726,Almost all Muslims in the UK are jobless and choose not to work.,"Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.",0,1,Islamophobia,economics,"facts , hypocrisy",21.0,female,Master,ENT1ST0008HS0098CN000154,,,
1212,"Muslims love the islamic law so much, then why do not they move in islamic countries?","Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.",0,1,Islamophobia,culture,"facts , hypocrisy",21.0,female,Master,ENT1ST0008HS0098CN000154,,,
106,"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,culture,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
586,Maybe not all muslims are violent but they all support the jihad and follow sharia law. Islam is fanaticism.,"As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",1,0,Islamophobia,culture,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
179,"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?","As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,"crimes , rapism",facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
657,"Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.","As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,"crimes , rapism , terrorism",facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
553,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?","As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,rapism,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
210,"All Muslims should be deported, no one wants them here.","As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,generic,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
61,Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?,"As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,culture,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
533,A recent poll confirm a thrid of Britons believe there is a 'fundamental clash' between Islam and 'British values'.,"As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,culture,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
511,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,crimes,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
438,Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,"As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",0,1,Islamophobia,culture,facts,29.0,female,Master,ENT1ST0020HS0058CN001184,,,
3662,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"Because one person does not represent a whole religion, which one person today could reflect the whole of Christianity through their behaviour and belief?",0,1,Islamophobia,crimes,"hypocrisy , question",50.0,male,Bachelor,ENT1ST0014HS0062CN000749,,,
3725,Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,"Because one person does not represent a whole religion, which one person today could reflect the whole of Christianity through their behaviour and belief?",0,1,Islamophobia,generic,"hypocrisy , question",50.0,male,Bachelor,ENT1ST0014HS0062CN000749,,,
3829,"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.","Because one person does not represent a whole religion, which one person today could reflect the whole of Christianity through their behaviour and belief?",0,1,Islamophobia,rapism,"hypocrisy , question",50.0,male,Bachelor,ENT1ST0014HS0062CN000749,,,
3558,The problem of rape in Europe has been present since Muslims immigrants arrived there. They have been protected for years by the government and by the police who have not taken action.,"Because one person does not represent a whole religion, which one person today could reflect the whole of Christianity through their behaviour and belief?",0,1,Islamophobia,rapism,"hypocrisy , question",50.0,male,Bachelor,ENT1ST0014HS0062CN000749,,,
4024,"Sunnan abu dawud 38.4450 says that if a person does sex with an animal, there will be no sentence for this act.","Because one person does not represent a whole religion, which one person today could reflect the whole of Christianity through their behaviour and belief?",0,1,Islamophobia,culture,"hypocrisy , question",50.0,male,Bachelor,ENT1ST0014HS0062CN000749,,,
3626,"All Muslims should be deported, no one wants them here.","Because one person does not represent a whole religion, which one person today could reflect the whole of Christianity through their behaviour and belief?",0,1,Islamophobia,generic,"hypocrisy , question",50.0,male,Bachelor,ENT1ST0014HS0062CN000749,,,
