cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel
ENT1ST0001HS0033CN000024P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61.0,male,Bachelor
ENT1ST0001HS0033CN000024P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61.0,male,Bachelor
ENT1ST0001HS0046CN000014P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25.0,male,Bachelor
ENT1ST0001HS0046CN000014P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25.0,male,Bachelor
ENT1ST0001HS0046CN000015P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21.0,female,Master
ENT1ST0001HS0046CN000015P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21.0,female,Master
ENT1ST0001HS0046CN000016P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,No they are not - prove this?,Islamophobia,crimes,question,25.0,male,Master
ENT1ST0001HS0046CN000016P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,No they are not - prove this?,Islamophobia,crimes,question,25.0,male,Master
ENT1ST0001HS0046CN000017P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25.0,male,Bachelor
ENT1ST0001HS0046CN000017P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25.0,male,Bachelor
ENT1ST0001HS0046CN000018P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21.0,female,Master
ENT1ST0001HS0046CN000018P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21.0,female,Master
ENT1ST0001HS0046CN000019P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25.0,male,Bachelor
ENT1ST0001HS0046CN000019P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25.0,male,Bachelor
ENT1ST0001HS0046CN000020P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25.0,male,Bachelor
ENT1ST0001HS0046CN000020P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25.0,male,Bachelor
ENT1ST0001HS0054CN000058,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22.0,female,Master
ENT1ST0001HS0054CN000058P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22.0,female,Master
ENT1ST0001HS0054CN000058P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22.0,female,Master
ENT1ST0001HS0054CN000060,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22.0,female,Master
ENT1ST0001HS0054CN000060P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22.0,female,Master
ENT1ST0001HS0054CN000060P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22.0,female,Master
ENT1ST0001HS0074CN000062,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
ENT1ST0001HS0074CN000062P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
ENT1ST0001HS0074CN000062P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
ENT1ST0001HS0074CN000063,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26.0,female,Bachelor
ENT1ST0001HS0074CN000063P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26.0,female,Bachelor
ENT1ST0001HS0074CN000063P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26.0,female,Bachelor
ENT1ST0001HS0074CN000065,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29.0,female,Master
ENT1ST0001HS0074CN000065P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29.0,female,Master
ENT1ST0001HS0074CN000065P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29.0,female,Master
ENT1ST0001HS0074CN000067,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24.0,female,Bachelor
ENT1ST0001HS0074CN000067P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24.0,female,Bachelor
ENT1ST0001HS0074CN000067P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24.0,female,Bachelor
ENT1ST0001HS0074CN000068,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26.0,female,Bachelor
ENT1ST0001HS0074CN000068P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26.0,female,Bachelor
ENT1ST0001HS0074CN000068P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26.0,female,Bachelor
ENT1ST0001HS0074CN000069,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24.0,female,Bachelor
ENT1ST0001HS0074CN000069P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24.0,female,Bachelor
ENT1ST0001HS0074CN000069P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24.0,female,Bachelor
ENT1ST0001HS0074CN000070,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25.0,male,Master
ENT1ST0001HS0074CN000070P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25.0,male,Master
ENT1ST0001HS0074CN000070P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25.0,male,Master
ENT1ST0001HS0092CN000001P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia,crimes,denouncing,26.0,female,Bachelor
ENT1ST0001HS0092CN000002P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",Islamophobia,crimes,denouncing,24.0,female,Bachelor
ENT1ST0001HS0092CN000003P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Islamophobia,crimes,facts,29.0,female,Master
ENT1ST0001HS0092CN000004P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Positive news stories*.,Islamophobia,crimes,other,25.0,male,Master
ENT1ST0001HS0092CN000005P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?",Islamophobia,crimes,facts,61.0,male,Bachelor
ENT1ST0001HS0092CN000006P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25.0,male,Master
ENT1ST0001HS0092CN000007P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Muslims are also average and decent British citizens? Repatriate?,Islamophobia,crimes,hypocrisy,25.0,male,Master
ENT1ST0001HS0092CN000008P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia,crimes,"denouncing , facts",26.0,female,Bachelor
ENT1ST0001HS0092CN000009P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
ENT1ST0001HS0092CN000010P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.",Islamophobia,crimes,facts,29.0,female,Master
ENT1ST0001HS0092CN000011P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Saying that all Muslims are criminals is just wrong. They also do share British values.,Islamophobia,crimes,facts,26.0,female,Bachelor
ENT1ST0001HS0092CN000012P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.",Islamophobia,crimes,denouncing,61.0,male,Bachelor
ENT1ST0001HS0092CN000013P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.",Islamophobia,crimes,positive,29.0,female,Master
ENT1ST0001HS0107CN000025P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.",Islamophobia,crimes,facts,50.0,male,Bachelor
ENT1ST0001HS0107CN000026P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne)",Islamophobia,crimes,facts,21.0,female,Master
ENT1ST0001HS0107CN000027P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,Islamophobia,crimes,positive,25.0,male,Some university without degree
ENT1ST0001HS0107CN000028P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,Islamophobia,crimes,hypocrisy,25.0,male,Some university without degree
ENT1ST0001HS0107CN000029P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.",Islamophobia,crimes,facts,50.0,male,Bachelor
ENT1ST0001HS0107CN000030P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",Source check?,Islamophobia,crimes,question,25.0,male,Master
ENT1ST0001HS0107CN000031P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,Islamophobia,crimes,facts,50.0,male,Bachelor
ENT1ST0001HS0107CN000032P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","[quote from Quran about peace and love.] When the Quran says nothing about harming people who do not believe in Islam, how is this a reflection on all Muslims.?",Islamophobia,crimes,hypocrisy,25.0,male,Some university without degree
ENT1ST0001HS0107CN000033P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","And Trump supporters sent pipe bombs to his opposition, including Robert De Niro, those individuals do not represent all of Trump's supporters though.",Islamophobia,crimes,facts,21.0,female,Master
ENT1ST0001HS0107CN000034P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","On a brighter note, a counter-terrorism protest held by more than 10,000 Muslims advocated peace and people held posters denouncing terror.",Islamophobia,crimes,"facts , positive",21.0,female,Master
ENT1ST0001HS0107CN000035P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",Islamophobia and prejudice is making a judgement that may or may not be true of one person but then assuming it is true of all people like that .,Islamophobia,crimes,denouncing,50.0,male,Bachelor
ENT1ST0001HS0107CN000036P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","Do an image search for the image used, try to find it is source. Either you can demonstrate that the image has been misappropriated or you can talk about how individuals have always used religion to justify their actions, the problem is with the individual not the religion.",Islamophobia,crimes,hypocrisy,25.0,male,Some university without degree
ENT1ST0001HS0107CN000037P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","The image was photoshopped, original here. Muslims have never wanted to kill us or anyone, this image in fact demonstrates that there is no evidence for it so people have to make it up.",Islamophobia,crimes,facts,25.0,male,Some university without degree
ENT1ST0001HS0107CN000038P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.","Even if true, how does hatred counter hatred?",Islamophobia,crimes,"hypocrisy , question",25.0,male,Master
ENT1ST0001HS0107CN000039P2,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",Islam is a religion of peace and tolerance [insert quote from Koran].,Islamophobia,crimes,positive,50.0,male,Bachelor
ENT1ST0001HS0118CN000049,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,Islamophobia,crimes,humor,61.0,male,Bachelor
ENT1ST0001HS0118CN000049P1,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!,You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,Islamophobia,crimes,humor,61.0,male,Bachelor
ENT1ST0001HS0118CN000049P2,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,Islamophobia,crimes,humor,61.0,male,Bachelor
ENT1ST0001HS0118CN000050,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?","They don't, but I wonder why only the crimes with 'White British Non-Muslim' victims are the ones widely circulated?",Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
ENT1ST0001HS0118CN000050P1,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!,"They don't, but I wonder why only the crimes with 'White British Non-Muslim' victims are the ones widely circulated?",Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
ENT1ST0001HS0118CN000050P2,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,"They don't, but I wonder why only the crimes with 'White British Non-Muslim' victims are the ones widely circulated?",Islamophobia,crimes,"facts , hypocrisy",61.0,male,Bachelor
ENT1ST0001HS0118CN000051,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,Islamophobia,crimes,humor,61.0,male,Bachelor
ENT1ST0001HS0118CN000051P1,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!,Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,Islamophobia,crimes,humor,61.0,male,Bachelor
ENT1ST0001HS0118CN000051P2,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,Islamophobia,crimes,humor,61.0,male,Bachelor
ENT1ST0001HS0118CN000052,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",Isn't this a 'Have You Stopped Beating Your Wife?' question.?,Islamophobia,crimes,"denouncing , humor",61.0,male,Bachelor
ENT1ST0001HS0118CN000052P1,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!,Isn't this a 'Have You Stopped Beating Your Wife?' question.?,Islamophobia,crimes,"denouncing , humor",61.0,male,Bachelor
ENT1ST0001HS0118CN000052P2,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,Isn't this a 'Have You Stopped Beating Your Wife?' question.?,Islamophobia,crimes,"denouncing , humor",61.0,male,Bachelor
ENT1ST0001HS0118CN000053,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?","Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",Islamophobia,crimes,facts,61.0,male,Bachelor
ENT1ST0001HS0118CN000053P1,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!,"Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",Islamophobia,crimes,facts,61.0,male,Bachelor
ENT1ST0001HS0118CN000053P2,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,"Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",Islamophobia,crimes,facts,61.0,male,Bachelor
ENT1ST0001HS0122CN000054,Don't the Moslem's Holy books say 'kill infidels wherever they may be hiding'.,All hatred is wrong.,Islamophobia,crimes,facts,25.0,male,Master
ENT1ST0001HS0122CN000054P1,Their sacred books command to kill the infidels.,All hatred is wrong.,Islamophobia,crimes,facts,25.0,male,Master
ENT1ST0001HS0122CN000054P2,Doesn't the Koran say: 'Murder all the non-Muslims wherever they hide'?,All hatred is wrong.,Islamophobia,crimes,facts,25.0,male,Master
ENT1ST0001HS0122CN000055,Don't the Moslem's Holy books say 'kill infidels wherever they may be hiding'.,"No, that is misunderstanding. Actually they denounce violence.",Islamophobia,crimes,facts,29.0,female,Master
ENT1ST0001HS0122CN000055P1,Their sacred books command to kill the infidels.,"No, that is misunderstanding. Actually they denounce violence.",Islamophobia,crimes,facts,29.0,female,Master
